Nivel en el que te encuentras actualmente:;Nombre(s) ;Apellidos;Género;Fecha de nacimiento;Lugar de nacimiento ;NACIONALIDAD;Edad;Tipo de documento de identificación;Número de identificación (sin comas ni puntos);Ciudad en la que vive;Barrio o corregimiento donde vive;Comuna;Estrato socioeconómico;Dirección;Número de teléfono;Escolaridad (grado o programa que estés cursando actualmente);Colegio en el que estudia (o estudió para los de Mundo cotidiano);Si tu respuesta anterior fue otra, indica cuál colegio:;En el caso de que estés cursando un programa de pregrado universitario o programa técnico o tecnológico ¿cuál?;En el caso de que estés cursando un programa de pregrado universitario o programa técnico o tecnológico ¿En qué institución educativa? ;¿Qué temática o curso del colegio o institución universitaria disfrutas más? ;¿Qué temática o curso del colegio o institución universitaria es más difícil para ti?  ;¿Tienes alguna responsabilidad especial diferente al estudio? ;¿Perteneces a alguna organización, equipos o clubes dentro y fuera de la Institución educativa? (diferente a Soroca) ¿Cuáles?;¿Qué te gusta hacer en tu tiempo libre? (además de pasar tiempo con tus amistades);¿Actualmente, te encuentras trabajando?;En caso de haber respondido afirmativamente en la respuesta anterior, escribe qué labores desempeñas, dónde y hace cuánto;"¿Qué carreras/profesiones/oficios te interesaría que podrías estudiar/aprender? (si ya lo estás estudiando puedes responder ""lo estoy haciendo"")";¿Estás actualmente afiliado a EPS?;Nombre de la EPS;En caso de haber respondido OTRA en la respuesta anterior, indique el nombre de la EPS ;Nombre de la IPS donde es atendido/a por urgencias;Adjunta certificado EPS;Tipo de sangre;¿Presenta alguna discapacidad? ;En caso de haber respondido afirmativamente la respuesta anterior, seleccione ¿Cuál?;¿Cuenta con algún diagnóstico médico de enfermedad, discapacidad, limitación o tratamiento? ;En caso de haber respondido afirmativamente en la respuesta anterior, ¿Cuál? ;¿Tiene alguna alergia? ;En caso de haber respondido afirmativamente en la respuesta anterior, ¿a qué reaccionas con alergia? ;¿Se encuentra en tratamiento médico y/o farmacológico? Descríbalo ;Composición familiar (¿Con quiénes vives en tu casa?) ;¿Cuántas personas viven en tu casa? incluyéndote;Ingresos Familiares mensuales   (salario mínimo vigente a 2025 $1.423.000);¿Fuiste víctima del conflicto armado?;¿Te encuentras inscrito/a en el Registro Único de Víctimas?;¿Con qué etnia te identificas? ;¿Alguien de tu familia/red de apoyo primario están buscando empleo?;La Fundación Ser para Ser, al ser aliada de Compromiso Valle, tiene la posiblidad de recomendar .  En caso de responder a la anterior pregunta si.  Bríndanos su nombre, parentesco y número de contacto.;Nombres  y apellidos de tu acudiente principal;Tipo de documento de identidad;Número de documento de identidad (sin comas ni puntos);Número de teléfono 2;Género 2;Parentesco ;Edad 2;¿Trabaja actualmente?;¿Qué labor desempeña?;Tipo de vinculación laboral ;¿Con qué grupo poblacional te identificas?;Nombres  y apellidos;Tipo de documento de identidad 2;Número de documento de identidad (sin comas ni puntos) 2;Edad 3;Número de teléfono 3;Género 3;Parentesco  2;¿Trabaja actualmente? 2;¿Qué labor desempeña? 2;Tipo de vinculación laboral  2;¿Con qué grupo poblacional te identificas? 2;Se tiene la autorización firmada por el acudiente en documento físico ;Parentesco  3;Régimen de afiliación;Nacionalidad2;En el caso de que hayas respondido otra en la pregunta anterior, indique ¿cuál?;Column 79;ID. DOCUMENTO SUBIDO DRIVE ;EPS. SUBIDO AL DRIVE;CONSENTIMIENTO SUBIDO AL DRIVE 
Media;Camila;Rojas Hernández;Femenino;28/02/2008;Popayán, Valle del Cauca;Colombiana;18;Cédula de Ciudadanía;4603069605;POPAYÁN;Meléndez;5;3;Cra 66 #9-18;3518224283;11;Santa Librada;;Tecnología en Desarrollo de Software;Fundación Universitaria Católica Lumen Gentium;Matemáticas;Química;Cuidado de hermanos;Grupo de danza;Ver películas y jugar videojuegos;Sí;Mesero/a los fines de semana, hace 1 año;Administración de empresas;Sí;Sanitas;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;A-;No;;Sí;Miopía;Sí;Mariscos;Control médico general;Mamá, padrastro y hermanos;6;Menos de 1 SMV;No;No;Mestizo/a;Sí;Natalia Rodríguez, Tía, 3878273255;Camila Díaz;Cédula de Ciudadanía;3119039460;3822667825;Masculino;Madre;33;No;Conductor;Independiente;Víctima del conflicto;Mariana Castro;Cédula de Ciudadanía;5346071552;38;3490823568;Femenino;Padre;Sí;Independiente;Temporal;Migrante;Sí;Tía;Contributivo;Colombiana;;;;;
Universitario;Natalia;Moreno Castro;Femenino;15/06/2005;Yumbo, Valle del Cauca;Colombiana;20;Cédula de Ciudadanía;9409112705;YUMBO;Floralia;1;2;Cll 13 #27-89;3879127218;10;Santa Librada;;Diseño de Comunicación Visual;Fundación Universitaria Católica Lumen Gentium;Física;Lectura crítica;Labores del hogar;Grupo de danza;Leer, escuchar música y caminar;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Lo estoy haciendo;Sí;Sura;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;B+;No;;No;;Sí;Penicilina;No;Abuela y tíos;3;Entre 2 y 3 SMV;Sí;Sí;Mestizo/a;Sí;Gabriela Pérez, Hermano/a, 3367599088;Lucía Torres;Cédula de Ciudadanía;9509368445;3331985652;Masculino;Padre;41;Sí;Comerciante;Temporal;Madre cabeza de hogar;Lucía Gómez;Cédula de Ciudadanía;2072264109;47;3752092841;Femenino;Tía;No;Oficios varios;Informal;Víctima del conflicto;Sí;Madre;Contributivo;Colombiana;;;;;
Universitario;Natalia;Rodríguez Ramírez;Masculino;25/09/2008;Jamundí, Valle del Cauca;Colombiana;17;Tarjeta de Identidad;7815013549;JAMUNDÍ;Ciudad Córdoba;5;1;Cra 66 #9-18;3657160015;10;Otra;;Psicología;SENA;Diseño;Física;Ninguna;Ninguna;Jugar fútbol y ver series;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Marketing digital;Sí;Sura;;Clínica Versalles;LINK ADJUNTO COPIA EPS;B+;No;;No;;Sí;Ácaros;Tratamiento odontológico;Mamá, padrastro y hermanos;3;Entre 1 y 2 SMV;Sí;No;Mestizo/a;No;;Nicolás Pérez;Cédula de Ciudadanía;4259897171;3307021753;Masculino;Tía;39;No;Independiente;Independiente;Ninguno;Mariana Rojas;Cédula de Ciudadanía;7232457416;20;3819121702;Masculino;Abuela;Sí;Comerciante;Temporal;Víctima del conflicto;Sí;Hermano/a;Subsidiado;Colombiana;;;;;
Técnico/Tecnológico;Mariana;García Hernández;Masculino;21/03/2007;Palmira, Valle del Cauca;Colombiana;19;Cédula de Ciudadanía;6269095575;PALMIRA;El Ingenio;20;2;Cra 39 #44-10;3334372983;10;Otra;Colegio Experimental;Contaduría Pública;SENA;Física;Lectura crítica;Apoyo en negocio familiar;Ninguna;Leer, escuchar música y caminar;No;;Marketing digital;Sí;Nueva EPS;;Clínica Versalles;LINK ADJUNTO COPIA EPS;A-;No;;No;;No;;No;Papá y hermanos;2;Entre 2 y 3 SMV;No;No;Mestizo/a;No;;Sofía Hernández;Cédula de Ciudadanía;5583691423;3885041325;Masculino;Madre;38;Sí;Independiente;Temporal;Migrante;Sofía Torres;Cédula de Ciudadanía;6686457261;52;3838430526;Masculino;Hermano/a;Sí;Independiente;Informal;Migrante;Sí;Hermano/a;Contributivo;Colombiana;;;;;
Media;Valentina;Castro Castro;Femenino;16/09/2000;Buenaventura, Valle del Cauca;Colombiana;25;Cédula de Ciudadanía;8015947623;BUENAVENTURA;Alfonso López;19;3;Cll 5 #80-22;3633728581;10;Santa Librada;;Administración de Empresas;Universidad del Valle;Matemáticas;Cálculo;Labores del hogar;Grupo de danza;Jugar fútbol y ver series;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Marketing digital;Sí;Sura;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;B+;No;;No;;No;;Suplementos vitamínicos;Abuela y tíos;5;Entre 1 y 2 SMV;Sí;Sí;Mestizo/a;Sí;Natalia Pérez, Padre, 3851005908;Lucía Rojas;Cédula de Ciudadanía;4921487894;3476252397;Masculino;Madre;48;No;Empleado/a;Informal;Víctima del conflicto;Andrés Rojas;Cédula de Ciudadanía;5661018067;60;3521808299;Masculino;Madre;Sí;Conductor;Temporal;Ninguno;Sí;Padre;Contributivo;Colombiana;;;;;
Universitario;Andrés;Ramírez López;Femenino;2/05/2001;Buga, Valle del Cauca;Colombiana;24;Cédula de Ciudadanía;5690609286;BUGA;Poblado Campestre;22;4;Cll 5 #80-22;3868815434;8 Semestre;Normal Superior;;Ingeniería de Sistemas;Universidad del Valle;Programación;Química;Ninguna;Equipo de fútbol;Jugar fútbol y ver series;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Ingeniería de software;Sí;Nueva EPS;;Clínica Colombia;LINK ADJUNTO COPIA EPS;A+;No;;No;;No;;Tratamiento odontológico;Papá y hermanos;2;Entre 2 y 3 SMV;Sí;No;Afrocolombiano/a;Sí;Nicolás Rodríguez, Madre, 3919401222;Isabella Gómez;Cédula de Ciudadanía;4150564949;3343242057;Femenino;Abuela;61;No;Empleado/a;Independiente;Víctima del conflicto;Sebastián Vargas;Cédula de Ciudadanía;7077264072;56;3796077689;Femenino;Madre;Sí;Oficios varios;Informal;Migrante;Sí;Tía;Contributivo;Colombiana;;;;;
Media;Lucía;Pérez Castro;Femenino;16/08/2003;Cali, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;7288134708;CALI;Vipasa;16;3;Cll 5 #80-22;3421183919;11;Santa Librada;;Administración de Empresas;Javeriana Cali;Programación;Ninguna;Apoyo en negocio familiar;Ninguna;Ver películas y jugar videojuegos;Sí;Mesero/a los fines de semana, hace 1 año;Psicología clínica;Sí;Sanitas;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;A-;No;;No;;Sí;Mariscos;Suplementos vitamínicos;Papá y hermanos;6;Entre 1 y 2 SMV;No;No;Indígena;No;;Valentina Díaz;Cédula de Ciudadanía;9031113439;3655895953;Masculino;Abuela;60;Sí;Comerciante;Informal;Ninguno;Tomás Díaz;Cédula de Ciudadanía;1745368008;37;3213598166;Masculino;Tía;No;Independiente;Formal;Migrante;Sí;Madre;Contributivo;Colombiana;;;;;
Universitario;Felipe;Hernández Castro;Masculino;28/03/2007;Tuluá, Valle del Cauca;Colombiana;19;Cédula de Ciudadanía;6472687701;TULUÁ;Vipasa;8;3;Cll 72 #14-09;3345240189;11;INEM;;Trabajo Social;Unicatólica;Inglés;Química;Ninguna;Grupo de danza;Dibujar y escuchar música;Sí;Mesero/a los fines de semana, hace 1 año;Diseño gráfico;Sí;Sanitas;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;A-;No;;No;;Sí;Polvo;Tratamiento odontológico;Mamá y hermanos;3;Entre 2 y 3 SMV;Sí;Sí;Mestizo/a;No;;Sebastián Castro;Cédula de Ciudadanía;4314565150;3725288714;Femenino;Tía;64;Sí;Oficios varios;Independiente;Víctima del conflicto;Lucía Pérez;Cédula de Ciudadanía;8760646915;54;3775569857;Masculino;Abuela;Sí;Independiente;Temporal;Migrante;Sí;Tía;Subsidiado;Colombiana;;;;;
Media;Isabella;García Hernández;Masculino;20/04/2004;Buenaventura, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;8351216406;BUENAVENTURA;Alfonso López;10;4;Cra 66 #9-18;3572327719;Técnico laboral;INEM;;Tecnología en Desarrollo de Software;Universidad del Valle;Matemáticas;Estadística;Labores del hogar;Semillero de investigación;Dibujar y escuchar música;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Psicología clínica;Sí;Emssanar;;Clínica Versalles;LINK ADJUNTO COPIA EPS;O+;No;;No;;No;;Tratamiento odontológico;Mamá y hermanos;4;Entre 2 y 3 SMV;No;No;Indígena;No;;Sebastián Vargas;Cédula de Ciudadanía;9994506689;3946164465;Masculino;Padre;64;No;Oficios varios;Temporal;Víctima del conflicto;Andrés López;Cédula de Ciudadanía;9044582204;44;3331022928;Femenino;Abuela;No;Empleado/a;Independiente;Madre cabeza de hogar;Sí;Tía;Contributivo;Colombiana;;;;;
Media;Samuel;Rojas Hernández;Femenino;16/04/2000;Tuluá, Valle del Cauca;Colombiana;26;Cédula de Ciudadanía;6697062145;TULUÁ;Meléndez;21;2;Cra 39 #44-10;3802483547;10;Colegio Comfandi;;Administración de Empresas;Fundación Universitaria Católica Lumen Gentium;Programación;Ninguna;Cuidado de hermanos;Semillero de investigación;Compartir con la familia y descansar;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Diseño gráfico;Sí;Nueva EPS;;Clínica Colombia;LINK ADJUNTO COPIA EPS;O-;No;;No;;Sí;Mariscos;Control médico general;Mamá, papá y hermanos;3;Entre 2 y 3 SMV;No;No;Mestizo/a;No;;Natalia García;Cédula de Ciudadanía;2030498981;3089127786;Femenino;Tía;45;Sí;Empleado/a;Independiente;Madre cabeza de hogar;Felipe Vargas;Cédula de Ciudadanía;9587649115;48;3981006385;Femenino;Hermano/a;No;Oficios varios;Informal;Víctima del conflicto;Sí;Padre;Subsidiado;Colombiana;;;;;
Universitario;Andrés;Hernández García;Femenino;16/08/2001;Palmira, Valle del Cauca;Colombiana;24;Cédula de Ciudadanía;3356424187;PALMIRA;Poblado Campestre;16;3;Cra 15 #23-45;3703355142;10;Normal Superior;;Contaduría Pública;Fundación Universitaria Católica Lumen Gentium;Programación;Química;Ninguna;Semillero de investigación;Dibujar y escuchar música;No;;Marketing digital;Sí;Coosalud;;IPS Valle Salud;LINK ADJUNTO COPIA EPS;B+;No;;No;;No;;Suplementos vitamínicos;Mamá, padrastro y hermanos;3;Entre 2 y 3 SMV;No;No;Ninguna;No;;Paula Ramírez;Cédula de Ciudadanía;5250587422;3327906501;Femenino;Padre;55;No;Conductor;Temporal;Migrante;Tomás Gómez;Cédula de Ciudadanía;6682293050;18;3056076043;Masculino;Tía;No;Oficios varios;Temporal;Madre cabeza de hogar;Sí;Madre;Subsidiado;Colombiana;;;;;
Media;Samuel;Rodríguez Gómez;Femenino;20/11/2001;Tuluá, Valle del Cauca;Colombiana;24;Cédula de Ciudadanía;1769801260;TULUÁ;Alfonso López;4;2;Cll 5 #80-22;3278166093;8 Semestre;Santa Librada;Colegio Experimental;Trabajo Social;Javeriana Cali;Biología;Cálculo;Labores del hogar;Ninguna;Leer, escuchar música y caminar;No;;Administración de empresas;Sí;Sanitas;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;AB+;No;;Sí;Asma controlada;Sí;Polvo;Control médico general;Mamá, padrastro y hermanos;6;Entre 2 y 3 SMV;Sí;Sí;Ninguna;No;;Natalia Vargas;Cédula de Ciudadanía;1685728905;3269152555;Femenino;Madre;52;No;Comerciante;Temporal;Ninguno;Tomás Ramírez;Cédula de Ciudadanía;8774540008;35;3133299181;Masculino;Tía;No;Comerciante;Formal;Madre cabeza de hogar;Sí;Abuela;Contributivo;Colombiana;;;;;
Universitario;David;Pérez Mendoza;Masculino;26/03/2008;Buga, Valle del Cauca;Colombiana;18;Cédula de Ciudadanía;4372352843;BUGA;El Ingenio;8;3;Cll 5 #80-22;3752778488;8 Semestre;Normal Superior;;Contaduría Pública;Universidad del Valle;Matemáticas;Química;Cuidado de hermanos;Grupo juvenil;Jugar fútbol y ver series;Sí;Mesero/a los fines de semana, hace 1 año;Administración de empresas;Sí;Coosalud;;Clínica Versalles;LINK ADJUNTO COPIA EPS;A-;No;;No;;No;;No;Papá y hermanos;6;Más de 3 SMV;Sí;Sí;Mestizo/a;No;;Samuel García;Cédula de Ciudadanía;5746399323;3097568540;Masculino;Padre;41;Sí;Conductor;Independiente;Madre cabeza de hogar;Andrés Vargas;Cédula de Ciudadanía;6937493039;59;3987457358;Femenino;Tía;No;Comerciante;Temporal;Ninguno;Sí;Padre;Contributivo;Colombiana;;;;;
Media;Valentina;Martínez Torres;Femenino;20/03/2000;Buenaventura, Valle del Cauca;Colombiana;26;Cédula de Ciudadanía;5390370129;BUENAVENTURA;Vipasa;22;3;Cll 13 #27-89;3985140141;Técnico laboral;INEM;;Trabajo Social;Fundación Universitaria Católica Lumen Gentium;Química;Química;Labores del hogar;Grupo juvenil;Ver películas y jugar videojuegos;No;;Marketing digital;Sí;Sura;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;A+;Sí;Auditiva;No;;No;;Tratamiento odontológico;Papá y hermanos;7;Entre 2 y 3 SMV;Sí;No;Mestizo/a;No;;Camila Mendoza;Cédula de Ciudadanía;6658388073;3794009391;Femenino;Abuela;49;Sí;Conductor;Formal;Madre cabeza de hogar;Andrés Mendoza;Cédula de Ciudadanía;9893061757;40;3657085664;Masculino;Padre;No;Oficios varios;Informal;Ninguno;Sí;Padre;Contributivo;Colombiana;;;;;
Universitario;Isabella;Díaz Ramírez;Femenino;29/08/2005;Popayán, Valle del Cauca;Colombiana;20;Cédula de Ciudadanía;5533649338;POPAYÁN;Floralia;22;3;Cra 39 #44-10;3636766118;11;Normal Superior;;Trabajo Social;Unicatólica;Matemáticas;Estadística;Apoyo en negocio familiar;Equipo de fútbol;Compartir con la familia y descansar;No;;Marketing digital;Sí;Sura;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;B+;No;;No;;No;;No;Abuela y tíos;6;Más de 3 SMV;Sí;Sí;Ninguna;No;;Mateo Torres;Cédula de Ciudadanía;1087276855;3176400486;Masculino;Padre;51;No;Oficios varios;Temporal;Ninguno;Nicolás Castro;Cédula de Ciudadanía;4636049896;46;3879226965;Femenino;Abuela;No;Comerciante;Temporal;Madre cabeza de hogar;Sí;Tía;Subsidiado;Colombiana;;;;;
Media;Sofía;López Vargas;Masculino;13/09/2005;Cali, Valle del Cauca;Colombiana;20;Cédula de Ciudadanía;6666127155;CALI;Poblado Campestre;18;3;Cll 72 #14-09;3658427979;Técnico laboral;Otra;Colegio Experimental;Psicología;SENA;Comunicación;Estadística;Labores del hogar;Grupo juvenil;Ver películas y jugar videojuegos;No;;Administración de empresas;Sí;Emssanar;;Clínica Versalles;LINK ADJUNTO COPIA EPS;AB+;No;;No;;No;;Tratamiento odontológico;Abuela y tíos;7;Más de 3 SMV;Sí;No;Indígena;No;;Felipe Rodríguez;Cédula de Ciudadanía;7547343640;3540634117;Femenino;Abuela;33;No;Conductor;Informal;Víctima del conflicto;Juan José Martínez;Cédula de Ciudadanía;2308909681;55;3472278425;Masculino;Padre;Sí;Comerciante;Formal;Migrante;Sí;Madre;Subsidiado;Colombiana;;;;;
Media;Sebastián;Díaz Díaz;Masculino;20/12/2005;Jamundí, Valle del Cauca;Colombiana;20;Cédula de Ciudadanía;6899389786;JAMUNDÍ;Alfonso López;7;4;Cra 39 #44-10;3670654222;Técnico laboral;Colegio Comfandi;Colegio Experimental;Diseño de Comunicación Visual;SENA;Física;Cálculo;Cuidado de hermanos;Semillero de investigación;Leer, escuchar música y caminar;No;;Ingeniería de software;Sí;Sura;;Clínica Colombia;LINK ADJUNTO COPIA EPS;O-;No;;No;;No;;Tratamiento odontológico;Mamá y hermanos;2;Menos de 1 SMV;No;No;Afrocolombiano/a;No;;Lucía Díaz;Cédula de Ciudadanía;8307363867;3028370739;Femenino;Padre;49;No;Comerciante;Temporal;Migrante;Mateo Díaz;Cédula de Ciudadanía;6461242224;33;3497094458;Femenino;Madre;No;Independiente;Independiente;Ninguno;Sí;Padre;Subsidiado;Colombiana;;;;;
Media;Felipe;Moreno López;Femenino;22/06/2009;Jamundí, Valle del Cauca;Colombiana;16;Tarjeta de Identidad;9401499423;JAMUNDÍ;Poblado Campestre;7;2;Cll 72 #14-09;3400722065;Técnico laboral;Normal Superior;;Psicología;Fundación Universitaria Católica Lumen Gentium;Química;Ninguna;Cuidado de hermanos;Equipo de fútbol;Ver películas y jugar videojuegos;No;;Ingeniería de software;Sí;Nueva EPS;;Clínica Versalles;LINK ADJUNTO COPIA EPS;A-;Sí;Cognitiva;No;;No;;Tratamiento odontológico;Papá y hermanos;4;Menos de 1 SMV;No;No;Mestizo/a;No;;Tomás Díaz;Cédula de Ciudadanía;1518054562;3070225226;Femenino;Tía;49;No;Comerciante;Temporal;Madre cabeza de hogar;Daniel Mendoza;Cédula de Ciudadanía;5980524872;29;3147795710;Masculino;Madre;No;Comerciante;Formal;Madre cabeza de hogar;Sí;Tía;Subsidiado;Colombiana;;;;;
Técnico/Tecnológico;Sebastián;Díaz Castro;Masculino;30/03/2000;Buga, Valle del Cauca;Colombiana;26;Cédula de Ciudadanía;9367548395;BUGA;Poblado Campestre;4;4;Cra 66 #9-18;3437443186;Técnico laboral;INEM;;Trabajo Social;SENA;Comunicación;Química;Cuidado de hermanos;Semillero de investigación;Dibujar y escuchar música;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Ingeniería de software;Sí;Coosalud;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;A+;No;;No;;No;;Control médico general;Papá y hermanos;3;Más de 3 SMV;No;No;Ninguna;No;;Lucía López;Cédula de Ciudadanía;3616206013;3356274576;Masculino;Tía;30;Sí;Oficios varios;Temporal;Madre cabeza de hogar;Tomás Ramírez;Cédula de Ciudadanía;8275656999;19;3918750945;Femenino;Padre;Sí;Conductor;Temporal;Víctima del conflicto;Sí;Abuela;Contributivo;Colombiana;;;;;
Media;Sofía;Gómez Torres;Masculino;21/02/2008;Yumbo, Valle del Cauca;Colombiana;18;Cédula de Ciudadanía;4304068679;YUMBO;Floralia;14;4;Cra 15 #23-45;3606284785;10;INEM;;Contaduría Pública;Javeriana Cali;Inglés;Física;Apoyo en negocio familiar;Equipo de fútbol;Dibujar y escuchar música;No;;Diseño gráfico;Sí;Emssanar;;Clínica Colombia;LINK ADJUNTO COPIA EPS;A-;No;;Sí;Miopía;Sí;Mariscos;Tratamiento odontológico;Papá y hermanos;6;Entre 2 y 3 SMV;Sí;Sí;Indígena;Sí;Natalia Ramírez, Abuela, 3016435519;Sebastián Gómez;Cédula de Ciudadanía;5366978519;3993986069;Femenino;Tía;51;Sí;Comerciante;Independiente;Migrante;Samuel Ramírez;Cédula de Ciudadanía;6260846945;28;3484762846;Masculino;Hermano/a;Sí;Conductor;Independiente;Madre cabeza de hogar;Sí;Hermano/a;Subsidiado;Colombiana;;;;;
Media;Sebastián;Vargas López;Masculino;29/10/2008;Palmira, Valle del Cauca;Colombiana;17;Tarjeta de Identidad;1807060036;PALMIRA;Siloé;12;4;Cra 66 #9-18;3105329098;Técnico laboral;Colegio Comfandi;;Psicología;SENA;Diseño;Ninguna;Labores del hogar;Equipo de fútbol;Compartir con la familia y descansar;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Marketing digital;Sí;Nueva EPS;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;AB+;No;;No;;No;;Control médico general;Mamá y hermanos;2;Entre 1 y 2 SMV;Sí;No;Mestizo/a;No;;Lucía Rodríguez;Cédula de Ciudadanía;4688615212;3719386012;Femenino;Hermano/a;41;Sí;Oficios varios;Informal;Ninguno;Paula López;Cédula de Ciudadanía;5555486779;22;3700846474;Masculino;Tía;Sí;Empleado/a;Formal;Migrante;Sí;Tía;Subsidiado;Colombiana;;;;;
Universitario;Lucía;Rojas Rodríguez;Masculino;11/05/2005;Palmira, Valle del Cauca;Colombiana;20;Cédula de Ciudadanía;1304347856;PALMIRA;Ciudad Córdoba;13;1;Cll 13 #27-89;3243627630;8 Semestre;Normal Superior;Colegio Experimental;Trabajo Social;SENA;Comunicación;Física;Ninguna;Equipo de fútbol;Jugar fútbol y ver series;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Administración de empresas;Sí;Sura;;IPS Valle Salud;LINK ADJUNTO COPIA EPS;A+;No;;No;;No;;Tratamiento odontológico;Mamá, papá y hermanos;7;Más de 3 SMV;No;No;Indígena;No;;Laura Martínez;Cédula de Ciudadanía;2195300307;3260047655;Masculino;Abuela;28;Sí;Comerciante;Temporal;Madre cabeza de hogar;David García;Cédula de Ciudadanía;9023223545;35;3610042537;Masculino;Madre;Sí;Independiente;Informal;Madre cabeza de hogar;Sí;Madre;Contributivo;Colombiana;;;;;
Técnico/Tecnológico;Isabella;Torres Torres;Masculino;10/09/2004;Yumbo, Valle del Cauca;Colombiana;21;Cédula de Ciudadanía;8636809134;YUMBO;Poblado Campestre;11;2;Cra 39 #44-10;3175265420;Técnico laboral;Otra;Colegio Experimental;Contaduría Pública;SENA;Química;Lectura crítica;Ninguna;Ninguna;Jugar fútbol y ver series;No;;Lo estoy haciendo;Sí;Nueva EPS;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;A+;Sí;Motriz;No;;No;;Control médico general;Mamá, padrastro y hermanos;2;Entre 2 y 3 SMV;No;No;Afrocolombiano/a;No;;Tomás López;Cédula de Ciudadanía;1194868891;3333900082;Masculino;Tía;28;No;Oficios varios;Informal;Víctima del conflicto;Tomás Castro;Cédula de Ciudadanía;6619579556;34;3585639398;Femenino;Abuela;No;Empleado/a;Formal;Migrante;Sí;Abuela;Subsidiado;Colombiana;;;;;
Técnico/Tecnológico;Andrés;Torres Moreno;Femenino;2/03/2005;Buenaventura, Valle del Cauca;Colombiana;21;Cédula de Ciudadanía;1970830458;BUENAVENTURA;Vipasa;20;2;Cll 5 #80-22;3643573342;10;Normal Superior;;Ingeniería Industrial;SENA;Programación;Física;Ninguna;Semillero de investigación;Ver películas y jugar videojuegos;Sí;Mesero/a los fines de semana, hace 1 año;Ingeniería de software;Sí;Nueva EPS;;IPS Valle Salud;LINK ADJUNTO COPIA EPS;A-;No;;No;;Sí;Polvo;No;Abuela y tíos;6;Entre 2 y 3 SMV;No;No;Ninguna;No;;Mariana Rojas;Cédula de Ciudadanía;6600869238;3495183624;Femenino;Abuela;51;Sí;Empleado/a;Formal;Madre cabeza de hogar;Juan José Torres;Cédula de Ciudadanía;1901897414;41;3853485094;Masculino;Hermano/a;No;Empleado/a;Informal;Ninguno;Sí;Abuela;Contributivo;Colombiana;;;;;
Técnico/Tecnológico;Sofía;Martínez Rojas;Masculino;25/08/2001;Cali, Valle del Cauca;Colombiana;24;Cédula de Ciudadanía;2526036753;CALI;Floralia;3;4;Cra 15 #23-45;3277939853;Grado 11;Colegio Comfandi;;Ingeniería Industrial;Universidad del Valle;Química;Química;Labores del hogar;Ninguna;Compartir con la familia y descansar;Sí;Mesero/a los fines de semana, hace 1 año;Diseño gráfico;Sí;Nueva EPS;;Clínica Colombia;LINK ADJUNTO COPIA EPS;A+;No;;No;;Sí;Ácaros;No;Mamá, padrastro y hermanos;3;Más de 3 SMV;No;No;Afrocolombiano/a;No;;Mateo López;Cédula de Ciudadanía;8188363092;3374551548;Femenino;Madre;64;No;Empleado/a;Temporal;Migrante;Sofía Mendoza;Cédula de Ciudadanía;6343188658;19;3796463312;Femenino;Padre;Sí;Comerciante;Formal;Migrante;Sí;Padre;Contributivo;Colombiana;;;;;
Media;Mariana;Ramírez Díaz;Femenino;14/07/2005;Popayán, Valle del Cauca;Colombiana;20;Cédula de Ciudadanía;4678901726;POPAYÁN;Caney;6;4;Cra 66 #9-18;3851200082;10;Otra;;Ingeniería de Sistemas;Unicatólica;Física;Estadística;Labores del hogar;Grupo de danza;Compartir con la familia y descansar;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Marketing digital;Sí;Coosalud;;IPS Valle Salud;LINK ADJUNTO COPIA EPS;A-;No;;No;;No;;Tratamiento odontológico;Mamá, padrastro y hermanos;3;Entre 1 y 2 SMV;No;No;Indígena;Sí;Sofía Castro, Madre, 3198400428;Gabriela Rodríguez;Cédula de Ciudadanía;7593461317;3413324789;Masculino;Hermano/a;48;No;Conductor;Temporal;Víctima del conflicto;Tomás Mendoza;Cédula de Ciudadanía;1960968370;51;3451480610;Femenino;Padre;No;Comerciante;Informal;Migrante;Sí;Padre;Subsidiado;Colombiana;;;;;
